time,danmu
53.37700,我家猫瞅了我一眼
59.23600,卧槽这是小马吗？
14.94800,猛龙摆尾
41.48200,当时流眼泪了捂着眼，我说婷婷
60.83100,马保国：“婷婷。”
34.75500,在现场，笑死我了
22.49700,设计师看到了，这就是ad现状
60.92200,加密通话
87.82000,键盘还是榴莲？？
10.05900,像函数的郑秀晶
31.43800,吾辈楷模
38.39500,哈哈哈哈好甜
92.38400,听你喊了一分钟婷婷
36.92000,加密通话
85.84000,磨刀不误砍柴工
63.20000,正在化妆蓄力
0.92400,吾辈楷模
76.78000,找菜刀去了
44.16000,找菜刀去了
48.39800,加密通话
40.02100,这个没怎么开，色调挺正常
53.96500,正在化妆蓄力
92.90300,进游戏了进游戏了
36.18700,苏恩好看
46.45900,我说婷婷
18.06000,哈哈哈哈哈哈确实好看的
106.99700,我说婷婷
22.89100,还挺甜
7.91600,赵嘉敏？王楚然？
15.74000,其实是挺好看的
66.15800,抹米米？
53.10800,准备单杀LPL第一ADC
30.18000,确实还不错啊
9.17100,挺好看啊
28.48500,真的挺好看的
81.74900,tiangtiang
25.91400,可以分手了
103.10900,危
59.65900,拿刀去了
36.82100,丫丫第二
96.39300,危
16.49400,有点像茄子的…
86.13900,等cd呢
11.22100,AD现状
77.90600,在磨刀
45.01600,hhhh
65.12600,拿40米大砍刀去了
40.69900,家乡的语
51.96300,拿刀去了
76.42000,危
49.44000,别叫我我听不见～
18.83400,真挺好看的
35.82000,我说婷婷
46.66000,我说婷婷
23.95000,Y1S1还行
55.41600,神话
39.21500,鱼人语
59.15000,前方高能
23.21800,确实挺好看的
64.65900,这么甜吗
22.21400,笑死我了
50.26700,Tiangtiang
82.92900,奥利给
19.93900,我也觉得挺好看的
66.85400,细节啊
31.84600,底子好‘’
34.39200,是挺好看的啊
36.36400,挺好看的
25.73100,确实挺好看
55.29300,乌兹！乌兹！永远滴神！
38.31100,确实好看
52.53400,危
49.26400,哈哈哈哈哈哈哈哈哈哈哈哈
59.69200,甜的
20.94200,好看啊
27.72300,哈哈哈哈哈哈哈
24.34000,是漂亮的
48.28800,巨魔语
71.01900,我说婷婷
19.26000,确实挺漂亮
24.50800,096是吧
27.36200,确实不错
51.54800,停停
64.04500,单杀
31.26100,爱了
113.58400,？？？？？
18.70800,是好看的
17.39400,哈哈哈哈哈
16.89900,AD现状
16.79900,和郑爽有点像啊
106.51900,危
106.52000,前方高能
99.23600,jjn 那就
19.61400,看不清  蛮好看的
98.96700,好腻歪啊笑死
52.79800,奥咪咪 婷的qq名
81.50700,化完妆再回来打你。
11.47900,郭美美
14.54000,邪神奥咪咪
21.54000,果然郭美美
75.02200,么眯眯？
34.95800,整过了
49.19900,是叫啥动物吗
94.89500,我服了
50.63700,你搁这喊猫呢？
10.18000,化了妆的呀但是只化了眉毛，涂了点唇膏的样子
15.45800,郭美美
42.21100,阿巴阿巴
14.22300,挺好看的
23.09700,有点像郑爽，但是比郑爽看着气色更好
78.75600,tiang tiang
40.47300,这种症状持续多久了
25.18000,他女朋友整过容的
27.36800,挺好看的阿
33.65000,我说停停，小伙子你不讲武德
20.50600,聋了
57.84100,叫猫呢搁着
30.19600,整容痕迹太重了叭
49.80700,别黑高圆圆，谢谢。
33.39800,好看
10.48900,这是素颜？你逗我呢
32.37300,我酸了
72.15700,毒硬币？
48.39800,歪比歪比
37.57900,婷婷挺好看的
65.76400,简言简语？
49.96500,uzi 大危
47.42000,u桑 
15.48200,底子真好
79.13800,噢咪咪？
85.14200,全场唯一人话
96.02700,水烧开了
10.23300,有点像王思聪
23.20900,郭美美
56.51500,热菜去了
25.30000,好兄弟
78.62300,太真实了  像极了我女朋友
44.62000,歪布巴布
28.27400,好看
25.74000,婷婷真好看
44.72200,整的都不像样了·······还尬吹呢
37.18000,药水哥附体
20.50000,比起照片来确实有差距
51.99900,先去化个妆然后拿把刀
47.98000,烈火奶奶
25.85000,好看的啊
27.26800,她们觉得可以更好看的，因为是素颜
114.38400,家暴呢
88.92800,那个老王的，你是魔鬼吗？怎么哪都有你。
25.20200,蛮好看的啊
52.54400,歪比巴不
33.26800,家暴快
85.74500,唯一一句人话
8.17900,郭美美
76.23900,老王:那胖子叫你呢
30.34500,？
56.21200,……
22.62000,这脸都整塌了
29.28700,漂亮的呀
67.88000,l b w
85.35400,永远的神
5.22300,scp096
80.35000,lz酸了
64.31500,女生嘛。。。见外人就想给看最好的。。23333
19.81100,还蛮好看的。
18.54400,漂亮啊
20.02000,uzi长得也挺好看啊
47.22500,感觉没有污渍长得好看呢
40.80000,找菜去了
82.11400,歪比八卜
114.38400,标题狗
68.87900,？
60.61900,咪什么？
50.09900,什么
17.32500,。。。。我听成了giaogiao
63.78900,外币巴博
82.25800,摸密码机
57.31600,奥咪咪～
41.79700,tiang tiang
12.24100,tiang tiang
28.33200,这姑娘挺好的，看的
50.20600,枣子哥我爱你
76.25400,绿了
54.94600,要坚强
84.17100,在下面
35.77900,他直播不是开的美颜吗
10.12000,？？？？
64.61700,？？？
43.75700,贡子姐
56.54900,？
9.61400,关晓彤？
87.05800,小马偷偷的笑了
15.69800,水滴鱼
66.53200,我也酸了，我也想看狗爷打游戏
38.27300,相机美颜也行
54.50900,？？？
43.85600,说像高圆圆的在放屁？
39.10300,有点像高圆圆
27.64200,皮
60.15400,我酸了   我也想看狗哥打游戏
68.47200,恋爱的酸臭味
61.05100,咪咪摸摸
29.87800,ezking
52.73500,我酸了
